title,code,stars,genre,director,actor,writer,highest_percentages,highest_age
브레이크더사일런스:더무비,195975,9.3,다큐멘터리,박준수,RM,None,0,0
메리포핀스,11608,9.3,가족,로버트스티븐슨,줄리앤드류스,빌월시각본,0,0
일급살인,17869,9.3,드라마,마크로코,크리스찬슬레이터,댄고든각본,0,0
달링,152655,9.3,드라마,앤디서키스,앤드류가필드,윌리엄니콜슨각본,42,20
시월애,30306,9.29,드라마,이현승,이정재,여지나각본,50,30
플립,76309,9.29,멜로/로맨스,로브라이너,매들린캐롤,로브라이너각본,63,20
동방불패,11104,9.29,액션,정소동,이연걸,장탄각본,0,0
허스토리,167787,9.29,드라마,민규동,김희애,서혜림각본,56,20
영웅:샐러멘더의비밀,51708,9.29,액션,알렉산드르야킴추크,김보성,세르게이본다렌코각본,0,0
오페라의유령:25주년특별공연,89752,9.29,공연실황,캐머런맥킨토시,시에라보게스,카메론매킨토시제작,57,20
뽀로로극장판보물섬대모험,183136,9.29,애니메이션,김현호,이선,이원식각본,72,30
내이름은칸,70651,9.29,드라마,카란조하르,샤룩칸,시바니바디자각본,0,0
라이온킹,16521,9.29,애니메이션,로저알러스,조나단테일러토마스,아이린메치각본,0,0
타잔,25266,9.29,애니메이션,케빈리마,토니골드윈,탭머피각본,0,0
인생,16531,9.29,드라마,장이머우,공리,여화원작자,43,20
천녀유혼,10670,9.29,판타지,정소동,장국영,원계지각본,50,30
"나,다니엘블레이크",150376,9.29,드라마,켄로치,데이브존스,폴래버티각본,45,20
명탐정코난:베이커가의망령,38613,9.29,애니메이션,코다마켄지,타카야마미나미,노자와히사시각본,0,0
극장판짱구는못말려:수수께끼!꽃피는천하떡잎학교,219812,9.29,애니메이션,타카하시와타루,전체관람가,우스이요시토원작자,47,20
천국의아이들,29571,9.28,드라마,마지드마지디,레자나지,마지드마지디각본,60,20
공동경비구역JSA,15899,9.28,드라마,박찬욱,이영애,김현석각본,58,20
소년시절의너,192066,9.28,멜로/로맨스,증국상,주동우,람윙섬각본,52,20
빌리엘리어트뮤지컬라이브,125724,9.28,공연실황,스티븐달드리,엘리엇한나,엘튼존음악,35,20
자백,146534,9.28,다큐멘터리,최승호,최승호,정재홍각본,32,30
더코브:슬픈돌고래의진실,53951,9.27,다큐멘터리,루이시호요스,조치숌,마크먼로각본,0,0
바람,70773,9.27,드라마,이성한,정우,이성한각본,0,0
우리들,146504,9.27,드라마,윤가은,최수인,윤가은각본,49,20
맨발의꿈,51083,9.27,드라마,김태균,박희순,김광훈각본,0,0
극장판귀멸의칼날:무한열차편,196051,9.27,애니메이션,소토자키하루오,이경태,고토게코요하루원작자,54,20
